description,poster,rating,title,votes
"In the 1970s, a missing teacher of martial arts is the subject of a quest by his devoted and brilliant but distant students, who include Batman.","https://m.media-amazon.com/images/M/MV5BYTUxNDQ3OGMtNWM2Yy00MDEwLThkMmUtZGVmZWM5MTczNjExXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_QL75_UX190_CR0,1,190,281_.jpg",6.1,Batman: Soul of the Dragon,4.4K
Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.,"https://m.media-amazon.com/images/M/MV5BMjMxYjU0NmUtOTg0NC00ZGQ5LWEwZjEtZTU4OTgwMzAwYjk5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,3,190,281_.jpg",5.4,Tom and Jerry: The Movie,11K
An eccentric school-teacher takes her class on wondrous educational field trips with the help of a magical school bus.,"https://m.media-amazon.com/images/M/MV5BZDA1OWI3MzMtZTgzMC00ZGRiLWI2NjctNTYwZDViNjg4MWI1XkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.8,The Magic School Bus,9K
"The greatest minds of the world have been cloned, and are now attending high school together.","https://m.media-amazon.com/images/M/MV5BOGJjYTBjODktZTQzMC00MzU0LTgxZDAtOTAwNjVkYmFjOTFlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR11,0,190,281_.jpg",8.1,Clone High,6.8K
"A boy named Itsuka Shido meets a spirit girl who has been rejected by a devastated world. The girl, who Shido names Tohka, happens to have wiped out much of humanity 30 years ago, and now she is back. The only way to stop her is to date her.","https://m.media-amazon.com/images/M/MV5BNjhhMWZkYzItZWZiMy00MjdlLWIxNjQtZGFlMGQ4YzVmNTAyL2ltYWdlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.0,Date a Live,2.6K
"On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor.","https://m.media-amazon.com/images/M/MV5BZTJlZTllZTEtYzE5ZS00Y2U4LWIzOTMtNDZiZTM0MDMwNjBiXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.5,He-Man and the Masters of the Universe,3.1K
"A 12-year old boy named Naota one day meets a strange woman, riding a Vespa and wielding a big guitar. As soon as she appears, mysterious things start happening.","https://m.media-amazon.com/images/M/MV5BYzkzYjI2YzMtZjllMS00MzRmLTk2MDMtZWY4Zjg4N2M2NmIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",8.2,FLCL,16K
A boy and his beloved imaginary friend are able to stay together at an orphanage of sorts for imaginary friends that children have outgrown to be adopted by new children.,"https://m.media-amazon.com/images/M/MV5BNjYyNGFjOTctYzFmNC00NzdmLThhMDgtNjEzZTRmNzA3ODc5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.6,Foster's Home for Imaginary Friends,21K
"Kimizuka Kimihiko is a crisis-magnet. From getting caught up in a crime scene to accidentally witnessing a drug deal, trouble seems to find him around every corner. So it is no surprise when his rather mundane flight suddenly enters a state of emergency with a dire need of a detective onboard. Unfortunately, his attempt at avoiding trouble is foiled by a beautiful gir...","https://m.media-amazon.com/images/M/MV5BNjQxYTNmZjktYTQwNS00YjY0LWIzNjAtZmM4MzhkODAyNzI4XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.2,"Tantei wa Mou, Shindeiru.",482
"After being married an entire year, Jane thinks back on some of her and Tarzan's adventures as she searches for something special to mark the occasion with.","https://m.media-amazon.com/images/M/MV5BMjAwMTM5NzM4OF5BMl5BanBnXkFtZTcwOTE2NDkyMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",5.3,Tarzan & Jane,6.2K
