description,poster,rating,title,votes
A tiny snail goes on an amazing journey by hitching a ride on the tail of a huge humpback whale. Based on the picture book written by Julia Donaldson and illustrated by Axel Scheffler.,"https://m.media-amazon.com/images/M/MV5BNDM3OGNlNzEtMzI1YS00ZmEzLWIyOWUtMTUwYTU3NWU0YWExXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg",7.4,The Snail and the Whale,1K
"Follow the iconic cat and mouse duo as they settle in to their new digs at the Royal Gate Hotel and unleash mayhem across the big city, inciting hilarious chaos uptown, downtown and everywhere their manic escapades take them.","https://m.media-amazon.com/images/M/MV5BYWFkNjVhZjgtMTNmZi00NTA2LWFhZWYtMWIwOTYzZDdlNTNiXkEyXkFqcGdeQXVyMTE0MTMxNDUz._V1_QL75_UX190_CR0,0,190,281_.jpg",7.3,Tom and Jerry in New York,208
"The Dark Knight must contend with a mysterious female vigilante who emulates him, but to a more ruthless degree.","https://m.media-amazon.com/images/M/MV5BN2IwYTVlZGQtOTRhNy00MDI5LThmMTUtYWI1MGUwMGFkYzI1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.7,Batman: Mystery of the Batwoman,12K
"A father tells his son a bedtime story about young Oblio (Mike Lookinland), who believes that having no point in the fantastical kingdom of pointed heads and things, still has a point.","https://m.media-amazon.com/images/M/MV5BNzAzODk0MzkyMV5BMl5BanBnXkFtZTcwOTMyMjUyMQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.6,The Point,2.6K
"Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now.","https://m.media-amazon.com/images/M/MV5BMWM4YjA3NDUtNjAxNi00NTdkLTkyZjEtZmYyOGRkZWViNzhiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.9,The Disastrous Life of Saiki K.: Reawakened,1.3K
A 11-year-old boy who loves soccer and soccer balls.,"https://m.media-amazon.com/images/M/MV5BYjg5YmE4MTctM2MyYy00MmRlLWFmYmEtODA5NDU1MDcwOWFmXkEyXkFqcGdeQXVyODcwODU4ODg@._V1_QL75_UY281_CR5,0,190,281_.jpg",8.3,Kyaputen Tsubasa,1.4K
Based on the fifth Dragon Quest game.,"https://m.media-amazon.com/images/M/MV5BM2Q5YTI0NTQtOGFlOC00MTEzLTg2NDYtM2VhNDk1ZTllNTNiXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.6,Dragon Quest: Your Story,2.6K
"Forky asks important questions about how the world works, such as: what is love? What is time? And of course, the deepest question of all: what is cheese?","https://m.media-amazon.com/images/M/MV5BYmE3YTRjMTUtN2Y1MS00YzBjLTkxYjItNDM2MWU0MjczNzY4XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.8,Forky Asks a Question,1.7K
Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a lion messiah.,"https://m.media-amazon.com/images/M/MV5BYTczOWIwYzQtYjM2Yi00NWEyLWE5OWItNTU5YzlkOTI4ZTM3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.1,"The Lion, the Witch & the Wardrobe",2.2K
The show is a sequence of 12 stories about the adventures of four girls. The action takes part in a fantasy world filled with monsters and bad magicians.,"https://m.media-amazon.com/images/M/MV5BZTZjYTFjMGYtNjUyMy00M2QwLWJlYmYtN2JlMjUzNDEzZjMzXkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_QL75_UX190_CR0,2,190,281_.jpg",5.1,Bikini Woriaazu,256
Gungrave follows the story of best friends Brandon Heat and Harry MacDowell as they join and rise in the ranks of Big Daddy's Millenion crime syndicate. The story begins in the future revealing Brandon Heat has become a creature now known as Beyond The Grave killing monsters with two very large guns and wicked looking machine gun on his back and that Harry MacDowell i...,"https://m.media-amazon.com/images/M/MV5BNTZmYzEyN2YtOGQzNS00OWRmLTlkMDQtNTMzMjNmODM1MTI4XkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_QL75_UX190_CR0,2,190,281_.jpg",7.9,Gangureivu,4.8K
Get ready for a spook-tacular good time with Curious George - in his first-ever Halloween movie. This fun-filled adventure is a bewitching treat for the whole family!,"https://m.media-amazon.com/images/M/MV5BNDY3NTE3MDYxOV5BMl5BanBnXkFtZTgwMDAzODA2MDE@._V1_QL75_UY281_CR11,0,190,281_.jpg",6.9,Curious George: A Halloween Boo Fest,360
"The early years of the Madagascar heroes Alex the Lion, Marty the Zebra, Melman the Giraffe and Gloria the Hippo, as they grow up in a rescue habitat at the Central Park Zoo.","https://m.media-amazon.com/images/M/MV5BNWNkNGQ1MTItODJlMi00ZGY1LTg1ZmYtNGYwN2IzMjFkMjNkXkEyXkFqcGdeQXVyMTIyOTI4Nzgw._V1_QL75_UX190_CR0,0,190,281_.jpg",5.6,Madagascar: A Little Wild,165
A young man learns that he is a Prince with an urgent quest to save his world by finding thirteen magical treasures of rule.,"https://m.media-amazon.com/images/M/MV5BODRkYzc0MTQtNTI1MC00NDU1LTk1YjgtZjhkYmE3ZDdkZjQ4XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UX190_CR0,28,190,281_.jpg",8.3,The Pirates of Dark Water,2.4K
"A modern continuation of the original Tom and Jerry cartoon, where the cat-and-mouse duo are now close friends through a series of adventures and chaos.","https://m.media-amazon.com/images/M/MV5BMTY3ODI3MDEzMF5BMl5BanBnXkFtZTYwOTM2OTQ5._V1_QL75_UY281_CR10,0,190,281_.jpg",7.8,The New Tom & Jerry Show,8.6K
"Five teenage girls learn that they have been chosen to guard the walls between parallel universes. For this purpose, they have been given the powers of the elements.","https://m.media-amazon.com/images/M/MV5BMjYwYTc4N2EtODkwNC00N2EwLTk2MDEtYjY5MWRmZDBkZjM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_QL75_UY281_CR8,0,190,281_.jpg",7.2,W.I.T.C.H.,3.4K
Nerdy private detective John Hunchman and his jock sidekick David Purefoy investigate oddball mysteries in their small town.,"https://m.media-amazon.com/images/M/MV5BYzEwN2E1NmEtNjU0NC00YjY0LTk1NzUtNDA4NDE5ZTE5NDVjXkEyXkFqcGdeQXVyNTgzMTg5Ng@@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.9,Dicktown,327
"Hideki Nishimura, who plays the game Legendary Age under the alias Rusian, swore off online marriages after confessing to a girl who claimed to be a guy in real-life. Two years later, the persistence of Ako, another Legendary Age player who is in the same guild as him, wore him down, and he agreed to an in-game marriage with her. When he finally meets up with the rest...","https://m.media-amazon.com/images/M/MV5BOWFmMTFkYzgtZDliMy00NmRhLWE0NWYtNTNmNmMyMGUwOGZmXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.4,Netoge no yome wa onnanoko ja nai to omotta?,970
"Eight years after the One Year War, the Earth Federation creates an elite force called the Titans to hunt Zeon remnants. When Titans proves to be no better than Zeon, the Anti Earth Union Group (AEUG) is formed to restore peace in space.","https://m.media-amazon.com/images/M/MV5BNTJjODZhMWYtMjBkMi00MmE0LWI5ZTEtMTVjZThjNzMyMmYyXkEyXkFqcGdeQXVyNTY0MDIzNzM@._V1_QL75_UY281_CR11,0,190,281_.jpg",8.1,Kidô senshi Z Gundam,1.2K
"When Alvin discovers that his neighbor is a werewolf, he begins an exhilarating race against time before the full moon arrives. But the real terror will come when Theodore starts acting weird too.","https://m.media-amazon.com/images/M/MV5BMzM1N2I1NzktMjBlYi00OGFkLTg5N2YtMjJmZDExNGM3NTA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg",6.6,Alvin and the Chipmunks Meet the Wolfman,1.5K
"When the Joker and Lex Luthor form an alliance, Batman must team up with the Justice League in order to stop them.","https://m.media-amazon.com/images/M/MV5BNjRjOGU2NzUtMjAwOC00MDI3LThmNmUtNTVkZTQ0MDEyYTc1XkEyXkFqcGdeQXVyMTA5NzUzODM4._V1_QL75_UY281_CR11,0,190,281_.jpg",6.5,Lego Batman: The Movie - DC Super Heroes Unite,5K
"As a punishment for punching a famous calligrapher, young handsome calligrapher Handa Seishu is exiled to a small island. As someone who has never lived outside of a city, Handa has to adapt to his new wacky neighbors, like people traveling on a tractor, unwanted visitors who never use the front door, annoying kids using his home as a playground, etc. Can this city gu...","https://m.media-amazon.com/images/M/MV5BYWM4YThiZGItMzUxNi00ZjllLWI0OWMtMjFhZTQxYjM4NDQ4XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UY281_CR12,0,190,281_.jpg",8.2,Barakamon,3.2K
"Picking up where Hey Arnold! (1996) left off, this tells the story of what happened to Arnold's parents.","https://m.media-amazon.com/images/M/MV5BMzU3MDE4NTMtNDY3My00MWQ4LWEwZTQtMDA1NTE0NGQ5YTcyXkEyXkFqcGdeQXVyNzQ4MzcwODk@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.5,Hey Arnold!: The Jungle Movie,3K
"In this comedy about one epic night in Kyoto, a college sophomore goes on a series of surreal encounters with the local nightlife, all the while unaware of the romantic longings of her classmate Senpai.","https://m.media-amazon.com/images/M/MV5BZGU0Mjc1ZTctZDdmYi00YzU0LWI4MjctMDM3Y2VjMzkzYmNiXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.6,Yoru wa mijikashi aruke yo otome,4.5K
"Short lived animated spin off of the television series Sabrina the Teenage Witch. The animated series is a prequel which features Sabrina as a pre-teen girl with small witch powers. Also features the hilarious wise-cracking cat Salem, Sabrina's naive surfer dude friend Harvey, spoiled brat rich girl Gem Stone, Sabrina's rule stricken uncle Uncle Quigley, Sabrina's spa...","https://m.media-amazon.com/images/M/MV5BY2U0MGMyNGUtNTQ3NC00MmNmLTk0NTQtNmU0MzBmOWNkZmZhXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_QL75_UX190_CR0,2,190,281_.jpg",5.9,"Sabrina, the Animated Series",3.4K
Get to know Barbie and her BFFs -- including next-door neighbor Ken -- in this animated vlog of adventures filmed inside her family's new dreamhouse.,"https://m.media-amazon.com/images/M/MV5BMzMyNDVjMzQtODI0Yy00YWE0LWJkMTgtYzI4MDJkYjhiMTRmXkEyXkFqcGdeQXVyNzQyNTU2MjI@._V1_QL75_UY281_CR18,0,190,281_.jpg",6.8,Barbie Dreamhouse Adventures,455
"Mari Tamaki is in her second year of high school and wants to start something. It's then that she meets Shirase, a girl with few friends who's considered weirdo by the rest of the class and nicknamed ""Arctic"" since it's all she ever talks about. Unlike her peers, Mari is moved by Shirase's dedication and decides that even though it's unlikely that high school girls wi...","https://m.media-amazon.com/images/M/MV5BNGNhNjlkZmMtOWVlMC00ZTI4LThkZTAtMzdlMmYwYWM5NzRhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.3,A Place Further Than the Universe,1.9K
Two orphans are given access to a super foster agency that enables them to replace people in their life with aces and superhumans.,"https://m.media-amazon.com/images/M/MV5BYTliNWM5ZDktNTc4Ni00YmFkLTk2MTEtOWQ2ZDJhYjBmMTRlXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UX190_CR0,6,190,281_.jpg",5.9,The Replacements,2.8K
"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caus...","https://m.media-amazon.com/images/M/MV5BOThhZjM4NjctZTVkMy00MjBkLTkwNGUtNzFkMTZjZTUwYzE2XkEyXkFqcGdeQXVyNTY4MjkyOTk@._V1_QL75_UY281_CR5,0,190,281_.jpg",9.0,Battle Through the Heavens,96
"This is the story of a knight, in a quest to uncover the secrets of the long-abandoned kingdom of the Hallownest insects, whose depths attract the adventurous and brave with the promise of treasure or the answer to ancient mysteries.","https://m.media-amazon.com/images/M/MV5BYTljYjM2OGYtNzU5NC00ODBiLTk4Y2ItMmE0ZDUxMzJmYWU4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",8.8,Hollow Knight,1.3K
"A powerful spirit that once threatened to destroy the world is back! Naruto's mission is to protect a priestess named Shion, who is the only one with the power to seal away the monster.","https://m.media-amazon.com/images/M/MV5BNWM0NTU4ZjQtNzRmYi00MzM0LTgxZDMtNjFlYWUxMTRhNDUxXkEyXkFqcGdeQXVyMjc4OTQ1OTA@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.9,Gekijô-ban Naruto shippûden,3.7K
"Getafix/Panoramix decides it's time to pass the magic potion recipe on to a young, trustworthy druid. He looks all over Gaul with Asterix and Obelix as Demonix is out to get the recipe.","https://m.media-amazon.com/images/M/MV5BZDUyNzhjMTAtNGI5OC00MjYzLWFlNDUtMTQzYTdhZjliMDk0XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_QL75_UY281_CR9,0,190,281_.jpg",6.7,Astérix: Le secret de la potion magique,9K
"Milo is a boy who is bored with life. One day he comes home to find a toll booth in his room. Having nothing better to do, he gets in his toy car and drives through - only to emerge in a world full of adventure.","https://m.media-amazon.com/images/M/MV5BODc3NTEyNmEtYmU0My00NTJlLWI1NjQtYTAxZTAxOTIwNDUwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,3,190,281_.jpg",6.9,The Phantom Tollbooth,3.1K
"Batman faces off against the original creature of the night, Count Dracula, who has been unintentionally resurrected by the Penguin.","https://m.media-amazon.com/images/M/MV5BMTkyMTMwNjA3MV5BMl5BanBnXkFtZTcwNzE2NTI2OQ@@._V1_QL75_UY281_CR10,0,190,281_.jpg",6.6,The Batman vs. Dracula,9.4K
"Marnie is a chubby cat, treated like a princess and getting everything she wants. When she is forced to make her own way in the world, she realizes who she really is - a lonely cat in need of friends.","https://m.media-amazon.com/images/M/MV5BZDVmMDY1ZGItZGNiYS00Y2IxLTk3YTQtYWY4MmE4Mjg4NGEyXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_QL75_UY281_CR7,0,190,281_.jpg",5.5,Marnies Welt,1K
A sketch comedy about three friends attending an all boys school.,"https://m.media-amazon.com/images/M/MV5BZmM4YzcxZDYtNmQwOC00NDM3LTg5MjktYzkxNjNhNDBkNTNiXkEyXkFqcGdeQXVyMTMzNDc0Nzky._V1_QL75_UX190_CR0,2,190,281_.jpg",7.8,Danshi kôkôsei no nichijô,2.1K
"Wallace takes a break from trying to decide on a holiday destination only to find he has no cheese for his crackers. The solution to both problems is a trip to the moon, with dog Gromit, because everybody knows the moon's made of cheese.","https://m.media-amazon.com/images/M/MV5BYWUyNjg5MTktNDk2Yi00YzUwLTkwMjMtZTdlNTcxZTk4OWY0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.8,A Grand Day Out,33K
"Takashi Tono is a freshman student who is transferred to an all-boys school. Soon after arriving, he befriends Kyosuke Yaguchi, who is a member of the soccer club and invites Tono to join him in the club. Tono's lack of interest in sports forces him to enter the quietest club of all: the photography club. However, the photography club is not what it seems, since the m...","https://m.media-amazon.com/images/M/MV5BYWZhOGUyYWQtNDc5OS00ZTJiLWE0YjEtNTNiNWNkNzI5MjhhXkEyXkFqcGdeQXVyODMyNTM0MjM@._V1_QL75_UY281_CR6,0,190,281_.jpg",5.7,Yarichin Bitch Club,111
"Stick Man lives in the family tree with his Stick Lady Love and their stick children three, and he's heading on an epic adventure across the seasons. Will he get back to his family in time for Christmas?","https://m.media-amazon.com/images/M/MV5BNDQxMjAzMTYzNl5BMl5BanBnXkFtZTgwMDIwNDc1NzE@._V1_QL75_UY281_CR11,0,190,281_.jpg",7.2,Stick Man,2.9K
"Reuniting with Gon and his friends, Kurapika explains to them the risks he bears because of his abilities. He believes his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin.","https://m.media-amazon.com/images/M/MV5BNjU1ODBhN2YtNzBjNi00MjU1LThkYjItYTY4ZTk0OGI1NmExXkEyXkFqcGdeQXVyNjc0NjAwNTI@._V1_QL75_UY281_CR3,0,190,281_.jpg",8.7,Hunter X Hunter OVA,1.7K
"A young girl is drawn into a mystery involving sealife around the world, in which two mysterious boys are somehow involved.","https://m.media-amazon.com/images/M/MV5BN2M4OWIzMjgtMmIzZS00ZmEzLTkwNWUtNTFmZGIwMzQyZjdmXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.5,Kaijû no kodomo,2.3K
"Ex-New York mobster Jimmy Falcone joins the Witness Protection Program, which relocates him and his family to Regina, Saskatchewan, Canada.","https://m.media-amazon.com/images/M/MV5BMjI1MzQ0Nzk5MF5BMl5BanBnXkFtZTgwNDUxOTIyMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.0,Fugget About It,1.1K
"Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship.","https://m.media-amazon.com/images/M/MV5BY2NmNGQ5NTMtODk5Zi00Y2QyLThlODMtNTRjYTY1MDljNDNkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.9,Extreme Ghostbusters,2.9K
"Natalie and Nick are frustrated with their luck in romance. After tossing coins into a fountain, the two then begin dreaming about each other. But, according to fountain mythology, they only have a week to turn those dreams into reality.","https://m.media-amazon.com/images/M/MV5BMjI5NzI3MTA1M15BMl5BanBnXkFtZTgwODQwMzg2NTE@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.4,In My Dreams,4K
"Imperial Capital, 1930. A strange group of people carrying musical instrument cases landed on Tokyo station. They are called the ""Jaegers"", who came to hunt vampires. Amongst them, there stood a young man with striking serenity and unusual aura. His name is Yuliy, a werewolf whose home village was destroyed by vampires. Yuliy and the Jaegers engage in deadly battle ov...","https://m.media-amazon.com/images/M/MV5BZjg3NmNjYTUtNGQ4Ny00MTA3LWJmOTctY2MzNzE2NTdhYzYwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg",6.8,Sirius the Jaeger,1.6K
"In the Atlatan continent, demons from another dimension called Chaos invaded which the nobility fought back using Crests, which gave them superhuman powers. However, rather than join forces to end Chaos, the nobles instead fought each other to gain more Crest powers and lands. The story focuses on Siluca Meletes, a young mage who scorns the feuding lords for abandonin...","https://m.media-amazon.com/images/M/MV5BNDAyMTE5NjMtMmY2My00NDEyLWJiZWMtYWI5NWI4YzM2OGE4XkEyXkFqcGdeQXVyNDQxMjI4MTg@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.2,Record of Grancrest War,754
A retired circus bear settles into the woods and prepares for a quiet new life surrounded by peace and tranquility until he is introduced to an adventurous little girl named Masha.,"https://m.media-amazon.com/images/M/MV5BOTBkNWQ3OWEtYjUyNy00ODBmLWE3ZTMtOWJhZWYyMmE2MGI1XkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.5,Masha i Medved,2.9K
"A powerful exoskeleton, technologically ages beyond any current such tech, is found, dubbed ""Infinite Stratos"" and multiplied. Only women can use it. One lucky boy discovers he can too and is sent to the all female Stratos academy to study.","https://m.media-amazon.com/images/M/MV5BOGU4NGIyMGEtYzBjYi00ZjdkLThmNTctNjhiMmIwNjgxNWZlXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.6,Infinite Stratos,1.7K
"A naive princess, her beloved cat and a poor mining boy team up to save their kingdom from a nasty underground realm of bad-mannered goblins.","https://m.media-amazon.com/images/M/MV5BMGVlZjU0MjctYmJjNi00ODIxLWFmN2UtNTcyOGE1YmU4ZjZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_QL75_UY281_CR7,0,190,281_.jpg",6.8,The Princess and the Goblin,2.7K
The adventures of the Kryptonian superhero dog and his friends.,"https://m.media-amazon.com/images/M/MV5BOTc5ZTQxNjUtODA4OC00MzlmLWI3OWMtMDM0YzU3ZmRkNDQ5XkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_QL75_UX190_CR0,5,190,281_.jpg",5.7,Krypto the Superdog,1K
"Metal Family follows the daily lives of Glam and Victoria, two metal fans that fell in love and had two children together, Dee and Heavy.","https://m.media-amazon.com/images/M/MV5BNjZiYmU5YTctNjUyYi00NGRjLTgyNGItMTY3MmZkOTdjZjZiXkEyXkFqcGdeQXVyMTI5NDQ0MjEw._V1_QL75_UY281_CR30,0,190,281_.jpg",9.1,Metal family,52
"The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately from Fate/stay night: Heaven's Feel I. presage flower, following Shirou as he continues to participate in the Holy Grail War even after being eliminated as a master.","https://m.media-amazon.com/images/M/MV5BZjM0ZmIwNjEtNDE4YS00MDQ2LWI2ZTMtYTNkZmMwN2YyZmMwXkEyXkFqcGdeQXVyNzEyMDQ1MDA@._V1_QL75_UY281_CR3,0,190,281_.jpg",8.0,Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,1.9K
"Max Taylor is the son of paleontologist Dr. Spike Taylor and is a fan of dinosaurs. Upon falling out of bed one morning, he sees something crashing into the woods. With his friends/fellow D-Team members Rex Owen and Zoe Drake, they find a strange stone and an egg-shaped capsule containing a Triceratops card. When Max rubs a lightning-marked stone and the Triceratops c...","https://m.media-amazon.com/images/M/MV5BNmIwNzVkOTMtMTVkOC00ZGNkLWJhMTUtZGJiM2MyMDYyMDA5XkEyXkFqcGdeQXVyOTA1ODU0Mzc@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.7,Kodai Oja Kyoryu Kingu,649
"An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.","https://m.media-amazon.com/images/M/MV5BMTc0OTQwNzYyNF5BMl5BanBnXkFtZTcwMDc5NTM0MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.7,Aqua Teen Hunger Force Colon Movie Film for Theaters,14K
The characters of Looney Tunes are all babies and live with Granny.,"https://m.media-amazon.com/images/M/MV5BODUwZmM0N2ItMmU2NS00ZTNkLWFiYzMtYjEyMDM4YjM4NzhjXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.2,Baby Looney Tunes,4.3K
Shrek gets in the Halloween spirit by challenging his fairytale friends to come up with scary stories for a contest. But the gang learn that they'll have to spend the night in Lord Farquaad's haunted castle before the winner is named.,"https://m.media-amazon.com/images/M/MV5BNjk5YWQwOGItNDE4NC00MDhjLWFhNmMtMDEzOGM4NDE2ZjRmXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.7,Scared Shrekless,4.9K
A squad of supernatural investigators are Earth's only defense against an evil ghost wizard and his minions.,"https://m.media-amazon.com/images/M/MV5BZDg1OWFlZTItZjhmOS00MDAzLWI4MTEtMTVlMmJmOTMxNWY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.4,Ghostbusters,2.8K
"In an alternate universe the theft of the Holy Grail 50 years previously ushers in a new conflict between the Mages Association and the rebellious Ygdillemna Family. With the activation of the Greater Grail, 15 Servants are summoned for an unprecedented battle royale in a new Holy Grail War.","https://m.media-amazon.com/images/M/MV5BNmQwYTMzY2QtZTliMS00MGY0LTk0ODMtOWRlYjMyYzk0MjYxXkEyXkFqcGdeQXVyNzA2MTUzMzM@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.6,Fate/Apocrypha,2K
"Follows Gia, who has to deal with the challenges and insecurities of ""adulting"" during her 21st birthday.","https://m.media-amazon.com/images/M/MV5BYTc2MWNiMmYtMTc5ZC00NDJkLThhZTEtYTY0ZWNjNmQ1YjkwXkEyXkFqcGdeQXVyODQ4MjU1MDk@._V1_QL75_UY281_CR18,0,190,281_.jpg",7.2,Twenty Something,317
"Ten years ago, Slade Wilson-aka the super-assassin called Deathstroke-made a tragic mistake and his wife and son paid a terrible price. Now, a decade later, Wilson's family is threatened once again.","https://m.media-amazon.com/images/M/MV5BZDE5MTU2ZGUtZThmMy00OGQzLTlkMDYtNzNiYjNlZTdhN2U5XkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_QL75_UX190_CR0,2,190,281_.jpg",6.6,Deathstroke: Knights & Dragons,2.2K
"The year 2071, the Earth has been devastated by mysterious monsters that devour living creatures and are impervious to weapons. An organization called Fenrir is the only one with weapons capable of killing the monsters.","https://m.media-amazon.com/images/M/MV5BMDFmMzYxOGUtYTg2MC00MzUzLWE3OTEtOWRmMjg1YmI3MGE2XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.0,God Eater,1.8K
"A pre-teen version of Scooby Doo, with a pint-sized version of the title character.","https://m.media-amazon.com/images/M/MV5BYjhmNDYyYWQtNjA4Yi00NDBjLThmYTgtNGQ3ZDhjODlkOGEyXkEyXkFqcGdeQXVyODY4NTIzMjA@._V1_QL75_UY281_CR11,0,190,281_.jpg",6.8,A Pup Named Scooby-Doo,5K
Buzz Lightyear must battle Emperor Zurg with the help of three hopefuls who insist on being his partners.,"https://m.media-amazon.com/images/M/MV5BZDI3MWEyMzgtN2JmZi00N2IzLThkZmUtZGY4ZjM2YmMwN2RmXkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_QL75_UY281_CR4,0,190,281_.jpg",6.2,Buzz Lightyear of Star Command: The Adventure Begins,4.5K
The life and misadventures of a family in contemporary Japan.,"https://m.media-amazon.com/images/M/MV5BZDBhYThkMWMtZTBlMi00NzMyLWE3YTktMjVjOWUwOTEyMjNlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.2,Hôhokekyo tonari no Yamada-kun,13K
Four teenage heroes-for-hire warp through the universe to save adorable aliens and their worlds using the power of their emotions.,"https://m.media-amazon.com/images/M/MV5BMjMwODkyNzMwMF5BMl5BanBnXkFtZTcwNjM0MzE4OA@@._V1_QL75_UY281_CR6,0,190,281_.jpg",8.1,Bravest Warriors,3.3K
"A young girl, from a civilization that resides in deep underground tunnels, finds herself trapped in an inverted world and teams up with a resident to escape and return home.","https://m.media-amazon.com/images/M/MV5BYjE1ZDUwNGYtYzM2Ni00NzhiLWFjOTAtMDM4ZDRiNzM5NTkxXkEyXkFqcGdeQXVyMjQ1NjEyNzE@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.4,Sakasama no Patema,8.5K
"On Dec.16, 5 friends in SOS Brigade (high school club) plan an Xmas party. On Dec.18, Haruhi +1 are missing and Kyon's 2 other friends don't know about the club.","https://m.media-amazon.com/images/M/MV5BM2IxOGFkYzYtNzE5OS00Zjg3LWE5YmUtMDE5MWMwZWVlNWMxXkEyXkFqcGdeQXVyMjI2MDQxODA@._V1_QL75_UY281_CR5,0,190,281_.jpg",8.1,Suzumiya Haruhi no shôshitsu,6.8K
"Donkey Kong and his sidekick, Diddy Kong, star in a computer-generated rendition of the classic video game.","https://m.media-amazon.com/images/M/MV5BMjE5MDczMTkzOV5BMl5BanBnXkFtZTcwMDE1ODkyMQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.6,Donkey Kong Country,1.2K
